ID,Name,Domain,Group,Location,Topic,Metadata
dew_Dpoint__indoor__shed-point__PC2_PB0C_second_2,Shed,Dew Point,Indoor,Shed,haas/sensor/config/sensor/anode/dew_Dpoint__indoor__shed-point__PC2_PB0C_second_2/config,"{""unit_of_measurement"": ""°C"", ""qos"": 1, ""name"": ""Shed"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/dew_Dpoint__indoor__shed-point__PC2_PB0C_second_2/state"", ""device"": {""identifiers"": [""Dew Point"", ""Indoor"", ""Shed""]}, ""unique_id"": ""dew_Dpoint__indoor__shed-point__PC2_PB0C_second_2""}"
dew_Dpoint__outdoor__roof-point__PC2_PB0C_second_2,Roof,Dew Point,Outdoor,Roof,haas/sensor/config/sensor/anode/dew_Dpoint__outdoor__roof-point__PC2_PB0C_second_2/config,"{""unit_of_measurement"": ""°C"", ""qos"": 1, ""name"": ""Roof"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/dew_Dpoint__outdoor__roof-point__PC2_PB0C_second_2/state"", ""device"": {""identifiers"": [""Dew Point"", ""Outdoor"", ""Roof""]}, ""unique_id"": ""dew_Dpoint__outdoor__roof-point__PC2_PB0C_second_2""}"
download__internet__london-point_MB_P2Fs_hour_4,London,Download,Internet,Home,haas/sensor/config/sensor/anode/download__internet__london-point_MB_P2Fs_hour_4/config,"{""unit_of_measurement"": ""MB/s"", ""qos"": 1, ""name"": ""London"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/download__internet__london-point_MB_P2Fs_hour_4/state"", ""device"": {""identifiers"": [""Download"", ""Internet"", ""Home""]}, ""unique_id"": ""download__internet__london-point_MB_P2Fs_hour_4""}"
download__internet__new_Dyork_Dcity-point_MB_P2Fs_hour_4,New York City,Download,Internet,Home,haas/sensor/config/sensor/anode/download__internet__new_Dyork_Dcity-point_MB_P2Fs_hour_4/config,"{""unit_of_measurement"": ""MB/s"", ""qos"": 1, ""name"": ""New York City"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/download__internet__new_Dyork_Dcity-point_MB_P2Fs_hour_4/state"", ""device"": {""identifiers"": [""Download"", ""Internet"", ""Home""]}, ""unique_id"": ""download__internet__new_Dyork_Dcity-point_MB_P2Fs_hour_4""}"
download__internet__perth-point_MB_P2Fs_hour_4,Perth,Download,Internet,Home,haas/sensor/config/sensor/anode/download__internet__perth-point_MB_P2Fs_hour_4/config,"{""unit_of_measurement"": ""MB/s"", ""qos"": 1, ""name"": ""Perth"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/download__internet__perth-point_MB_P2Fs_hour_4/state"", ""device"": {""identifiers"": [""Download"", ""Internet"", ""Home""]}, ""unique_id"": ""download__internet__perth-point_MB_P2Fs_hour_4""}"
energy__consumption__adhoc-integral_Wh_all_Dtime_1,Adhoc,Energy,Consumption,Home,haas/sensor/config/sensor/anode/energy__consumption__adhoc-integral_Wh_all_Dtime_1/config,"{""unit_of_measurement"": ""Wh"", ""qos"": 1, ""name"": ""Adhoc"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy__consumption__adhoc-integral_Wh_all_Dtime_1/state"", ""device"": {""identifiers"": [""Energy"", ""Consumption"", ""Home""]}, ""unique_id"": ""energy__consumption__adhoc-integral_Wh_all_Dtime_1""}"
energy__consumption__adhoc-integral_Wh_day_1,Adhoc,Energy,Consumption,Home,haas/sensor/config/sensor/anode/energy__consumption__adhoc-integral_Wh_day_1/config,"{""unit_of_measurement"": ""Wh"", ""qos"": 1, ""name"": ""Adhoc"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy__consumption__adhoc-integral_Wh_day_1/state"", ""device"": {""identifiers"": [""Energy"", ""Consumption"", ""Home""]}, ""unique_id"": ""energy__consumption__adhoc-integral_Wh_day_1""}"
energy__consumption__bathroom_Dlights-integral_Wh_all_Dtime_1,Bathroom Lights,Energy,Consumption,Home,haas/sensor/config/sensor/anode/energy__consumption__bathroom_Dlights-integral_Wh_all_Dtime_1/config,"{""unit_of_measurement"": ""Wh"", ""qos"": 1, ""name"": ""Bathroom Lights"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy__consumption__bathroom_Dlights-integral_Wh_all_Dtime_1/state"", ""device"": {""identifiers"": [""Energy"", ""Consumption"", ""Home""]}, ""unique_id"": ""energy__consumption__bathroom_Dlights-integral_Wh_all_Dtime_1""}"
energy__consumption__bathroom_Dlights-integral_mWh_day_1,Bathroom Lights,Energy,Consumption,Home,haas/sensor/config/sensor/anode/energy__consumption__bathroom_Dlights-integral_mWh_day_1/config,"{""unit_of_measurement"": ""mWh"", ""qos"": 1, ""name"": ""Bathroom Lights"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy__consumption__bathroom_Dlights-integral_mWh_day_1/state"", ""device"": {""identifiers"": [""Energy"", ""Consumption"", ""Home""]}, ""unique_id"": ""energy__consumption__bathroom_Dlights-integral_mWh_day_1""}"
energy__consumption__booster-integral_Wh_all_Dtime_1,Booster,Energy,Consumption,Home,haas/sensor/config/sensor/anode/energy__consumption__booster-integral_Wh_all_Dtime_1/config,"{""unit_of_measurement"": ""Wh"", ""qos"": 1, ""name"": ""Booster"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy__consumption__booster-integral_Wh_all_Dtime_1/state"", ""device"": {""identifiers"": [""Energy"", ""Consumption"", ""Home""]}, ""unique_id"": ""energy__consumption__booster-integral_Wh_all_Dtime_1""}"
