ID,Name,Domain,Group,Location,Topic,Metadata
anode__rate__rain__outdoor__home,Rate Rain,Rain,Outdoor,Home,haas/sensor/config/sensor/anode/anode__rate__rain__outdoor__home/config,"{""unit_of_measurement"": ""mm/h"", ""qos"": 1, ""name"": ""Rate Rain"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__rate__rain__outdoor__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__rate__rain__outdoor__home""}"
anode__rise__sun__outdoor__home,Rise Sun,Sun,Outdoor,Home,haas/sensor/config/sensor/anode/anode__rise__sun__outdoor__home/config,"{""unit_of_measurement"": ""scalar"", ""qos"": 1, ""name"": ""Rise Sun"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__rise__sun__outdoor__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__rise__sun__outdoor__home""}"
anode__roof_Ddew_Dpoint__rain__outdoor__home,Roof Dew Point Rain,Rain,Outdoor,Home,haas/sensor/config/sensor/anode/anode__roof_Ddew_Dpoint__rain__outdoor__home/config,"{""unit_of_measurement"": ""°C"", ""qos"": 1, ""name"": ""Roof Dew Point Rain"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__roof_Ddew_Dpoint__rain__outdoor__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__roof_Ddew_Dpoint__rain__outdoor__home""}"
anode__roof__heatindex__outdoor__roof,Roof Heatindex,Heatindex,Outdoor,Roof,haas/sensor/config/sensor/anode/anode__roof__heatindex__outdoor__roof/config,"{""unit_of_measurement"": ""scalar"", ""qos"": 1, ""name"": ""Roof Heatindex"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__roof__heatindex__outdoor__roof/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__roof__heatindex__outdoor__roof""}"
anode__roof__humidity__outdoor__roof,Roof Humidity,Humidity,Outdoor,Roof,haas/sensor/config/sensor/anode/anode__roof__humidity__outdoor__roof/config,"{""unit_of_measurement"": ""%"", ""qos"": 1, ""name"": ""Roof Humidity"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__roof__humidity__outdoor__roof/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__roof__humidity__outdoor__roof""}"
anode__roof__pressure__outdoor__roof,Roof Pressure,Pressure,Outdoor,Roof,haas/sensor/config/sensor/anode/anode__roof__pressure__outdoor__roof/config,"{""unit_of_measurement"": ""mbar"", ""qos"": 1, ""name"": ""Roof Pressure"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__roof__pressure__outdoor__roof/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__roof__pressure__outdoor__roof""}"
anode__roof__temperature__outdoor__roof,Roof Temperature,Temperature,Outdoor,Roof,haas/sensor/config/sensor/anode/anode__roof__temperature__outdoor__roof/config,"{""unit_of_measurement"": ""°C"", ""qos"": 1, ""name"": ""Roof Temperature"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__roof__temperature__outdoor__roof/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__roof__temperature__outdoor__roof""}"
anode__servers__energy__consumption__home,Servers Energy,Energy,Consumption,Home,haas/sensor/config/sensor/anode/anode__servers__energy__consumption__home/config,"{""unit_of_measurement"": ""Wh"", ""qos"": 1, ""name"": ""Servers Energy"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__servers__energy__consumption__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__servers__energy__consumption__home""}"
anode__servers__power__consumption__home,Servers Power,Power,Consumption,Home,haas/sensor/config/sensor/anode/anode__servers__power__consumption__home/config,"{""unit_of_measurement"": ""W"", ""qos"": 1, ""name"": ""Servers Power"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__servers__power__consumption__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__servers__power__consumption__home""}"
anode__set__sun__outdoor__home,Set Sun,Sun,Outdoor,Home,haas/sensor/config/sensor/anode/anode__set__sun__outdoor__home/config,"{""unit_of_measurement"": ""scalar"", ""qos"": 1, ""name"": ""Set Sun"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__set__sun__outdoor__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__set__sun__outdoor__home""}"
anode__upload_Dlondon__internet__speed_Dtest__home,Upload London Internet,Internet,Speed Test,Home,haas/sensor/config/sensor/anode/anode__upload_Dlondon__internet__speed_Dtest__home/config,"{""unit_of_measurement"": ""KB/s"", ""qos"": 1, ""name"": ""Upload London Internet"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__upload_Dlondon__internet__speed_Dtest__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__upload_Dlondon__internet__speed_Dtest__home""}"
anode__upload_Dnew_Dyork_Dcity__internet__speed_Dtest__home,Upload New York City Internet,Internet,Speed Test,Home,haas/sensor/config/sensor/anode/anode__upload_Dnew_Dyork_Dcity__internet__speed_Dtest__home/config,"{""unit_of_measurement"": ""KB/s"", ""qos"": 1, ""name"": ""Upload New York City Internet"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__upload_Dnew_Dyork_Dcity__internet__speed_Dtest__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__upload_Dnew_Dyork_Dcity__internet__speed_Dtest__home""}"
anode__upload_Dperth__internet__speed_Dtest__home,Upload Perth Internet,Internet,Speed Test,Home,haas/sensor/config/sensor/anode/anode__upload_Dperth__internet__speed_Dtest__home/config,"{""unit_of_measurement"": ""KB/s"", ""qos"": 1, ""name"": ""Upload Perth Internet"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__upload_Dperth__internet__speed_Dtest__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__upload_Dperth__internet__speed_Dtest__home""}"
anode__utility_Ddew_Dpoint__rain__indoor__home,Utility Dew Point Rain,Rain,Indoor,Home,haas/sensor/config/sensor/anode/anode__utility_Ddew_Dpoint__rain__indoor__home/config,"{""unit_of_measurement"": ""°C"", ""qos"": 1, ""name"": ""Utility Dew Point Rain"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__utility_Ddew_Dpoint__rain__indoor__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__utility_Ddew_Dpoint__rain__indoor__home""}"
anode__utility__humidity__indoor__utility,Utility Humidity,Humidity,Indoor,Utility,haas/sensor/config/sensor/anode/anode__utility__humidity__indoor__utility/config,"{""unit_of_measurement"": ""%"", ""qos"": 1, ""name"": ""Utility Humidity"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__utility__humidity__indoor__utility/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__utility__humidity__indoor__utility""}"
anode__utility__temperature__indoor__utility,Utility Temperature,Temperature,Indoor,Utility,haas/sensor/config/sensor/anode/anode__utility__temperature__indoor__utility/config,"{""unit_of_measurement"": ""°C"", ""qos"": 1, ""name"": ""Utility Temperature"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__utility__temperature__indoor__utility/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__utility__temperature__indoor__utility""}"
anode__wardrobe_Dlights__energy__consumption__home,Wardrobe Lights Energy,Energy,Consumption,Home,haas/sensor/config/sensor/anode/anode__wardrobe_Dlights__energy__consumption__home/config,"{""unit_of_measurement"": ""mWh"", ""qos"": 1, ""name"": ""Wardrobe Lights Energy"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__wardrobe_Dlights__energy__consumption__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__wardrobe_Dlights__energy__consumption__home""}"
anode__wardrobe_Dlights__power__consumption__home,Wardrobe Lights Power,Power,Consumption,Home,haas/sensor/config/sensor/anode/anode__wardrobe_Dlights__power__consumption__home/config,"{""unit_of_measurement"": ""W"", ""qos"": 1, ""name"": ""Wardrobe Lights Power"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__wardrobe_Dlights__power__consumption__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__wardrobe_Dlights__power__consumption__home""}"
anode__year__rain__outdoor__home,Year Rain,Rain,Outdoor,Home,haas/sensor/config/sensor/anode/anode__year__rain__outdoor__home/config,"{""unit_of_measurement"": ""m"", ""qos"": 1, ""name"": ""Year Rain"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__year__rain__outdoor__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__year__rain__outdoor__home""}"
